,TYPE,Initial,Periods,Participation rate,Boost level,Autocall,fixed_rate_start,fixed_rate_incr,Buffer,Barrier,Coupon Rate,Threshold,Market price,Implied Volatility
0,booster_par,740.39,5,0.75,-0.3,1.0,,,,100.0,,-100.0,97.0,0.5265235490585187
1,barrier_coupon,740.92,6,1.0,-100.0,1.0,,,,0.7,0.0175,-100.0,98.0,0.040233150884490476
2,barrier_coupon,730.19,6,0.1,-100.0,1.0,,,,0.7,0.02125,-100.0,97.25,0.5063111456879412
3,booster_par,1744.5,5,0.5,-0.3,1.0,,,,100.0,,-100.0,97.5,0.3469366547568428
4,barrier_coupon,765.9,10,0.5,-100.0,1.0,,,,0.75,0.015,-100.0,97.25,0.01
5,barrier_coupon,765.9,10,1.0,-100.0,1.0,,,,0.75,0.0265,-0.25,97.25,0.1030702858969574
6,booster_par,765.45,5,1.5,0.0,1.0,,,,-0.2,,-100.0,97.25,1.1479958601997033
7,booster_par,3044.34,5,1.0,-0.25,1.0,,,,100.0,,-100.0,97.0,0.7526671916976877
8,barrier_coupon,777.51,10,0.05,-100.0,1.0,,,,0.7,0.024,-0.3,97.0,0.11605881319539572
9,barrier_coupon,758.95,11,0.05,-100.0,1.0,,,,0.6,0.02,-100.0,97.5,0.3370384459002
10,barrier_coupon,770.21,11,0.45,-100.0,1.0,,,,0.75,0.015,-100.0,97.25,0.01
11,booster_par,753.17,5,0.5,-0.4,1.0,,,,100.0,,-100.0,97.0,0.4125947607261456
12,booster_par,1838.13,5,1.0,-0.2,1.0,,,,100.0,,-100.0,97.0,0.7249368903514678
13,barrier_coupon,784.01,6,1.0,-100.0,1.0,,,,0.75,0.02,-0.25,98.0,0.06425285070149617
14,barrier_coupon,788.69,11,0.05,-100.0,1.0,,,,0.7,0.02,-100.0,97.5,0.3370384459002
15,booster_par,3097.95,5,0.5,-0.4,1.0,,,,100.0,,-100.0,97.0,0.4125947607261456
16,barrier_coupon,815.49,10,0.4,-100.0,1.0,,,,0.75,0.015,-100.0,97.25,0.01
17,barrier_coupon,816.3,10,1.0,-100.0,1.0,,,,0.75,0.02425,-0.25,97.25,0.09298686034171406
18,barrier_coupon,816.3,10,1.0,-100.0,1.0,,,,0.7,0.025,-0.3,100.0,0.07237520974785928
19,booster_par,824.07,5,0.5,-0.3,1.0,,,,100.0,,-100.0,97.0,0.34693707032732063
